0569579D-ED23-4BFD-895E-FBFCB4EC5649#appfire#01.1001.1001.1004.#appfire##appfire#Prajakta2.prajakta2.web.com.view.organization.locationmanagement.StateMain#appfire##appfire#1#appfire#0#appfire#State#appfire##appfire#67E6CFC0-0546-46AE-8A36-F092187937A6#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
07332553-D6F8-46D2-82A0-501FC18372AA#appfire#01.1001.1001.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#locationmanagement#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
953BD2F6-0BE7-4C53-A966-BA959DAB3B14#appfire#02.1002.1002.#appfire##appfire#Prajakta2.view.logalarm.LogAlarmMainView#appfire##appfire#1#appfire#0#appfire#Log Alarm#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
965DC5CD-CEA1-4A41-A786-E028BB1A8CE9#appfire#02.1002.1001.#appfire##appfire#Prajakta2.view.logger.LogConfigurationTabPanel#appfire##appfire#1#appfire#0#appfire#Log Configuration#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
98CB7B19-030A-4547-8985-D5DB74846302#appfire#02.1004.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
A8C0A9C1-B581-40CC-AD44-CAE09190D4E4#appfire#02.1003.1001.#appfire##appfire#Prajakta2.view.apphealth.AppHealthTabPanel#appfire##appfire#1#appfire#0#appfire#Health Configuration#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
A945EB68-18A8-45DD-81E6-410CBCBABB85#appfire#01.1001.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#UI Builder#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
B0E77C05-6FA4-4EAE-8BF9-0F75E189D95B#appfire#02.1004.1003.#appfire##appfire#Prajakta2.view.usermanagement.admin.AdminUserManagement#appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
B1E97235-E1EA-4C84-BADC-722F49DD5792#appfire#01.1001.1001.1003.#appfire##appfire#Prajakta2.prajakta2.web.com.view.organization.locationmanagement.CountryMain#appfire##appfire#1#appfire#0#appfire#Country#appfire##appfire#E714AF49-AFFC-4182-B62C-5B8D73A5A961#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
C95A9A68-6764-4C9F-AE90-1F71CAB709E6#appfire#01.1001.1001.1006.#appfire##appfire#Prajakta2.prajakta2.web.com.view.organization.locationmanagement.AddressTypeMain#appfire##appfire#1#appfire#0#appfire#Address Type#appfire##appfire#4AC30EB1-C88E-4DAB-BFE7-D00FFC90DF34#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
D47DC13B-6261-4E81-905B-6B9906FB947C#appfire#02.1005.1001.#appfire##appfire#Prajakta2.view.scheduleconfiguration.ScheduleConfigMainView#appfire##appfire#1#appfire#0#appfire#Schedule Configuration#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:59#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:59#appfire#1#appfire#1#appfire#51000#appfire#0
D7CA3B6E-4E8A-419D-99C5-5FCE4C5DEEE7#appfire#01.1001.1002.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#contactmanagement#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
DBA23AEE-3C75-4EFF-BE97-BBBF38B6DE06#appfire#01.1001.1001.1005.#appfire##appfire#Prajakta2.prajakta2.web.com.view.organization.locationmanagement.CityMain#appfire##appfire#1#appfire#0#appfire#City#appfire##appfire#D76330EB-E636-4BD2-98F1-94BD28265859#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
E0804029-BA8B-4AF4-82E3-AD3E098E3B7C#appfire#01.1001.1001.1001.#appfire##appfire#Prajakta2.prajakta2.web.com.view.organization.locationmanagement.TimezoneMain#appfire##appfire#1#appfire#0#appfire#Timezone#appfire##appfire#EF351E6A-18D7-4517-BAD5-628C4C7C78B7#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
E4D95DDB-13C7-4D0C-90ED-5EB19734F0D4#appfire#02.1001.1003.#appfire##appfire#Prajakta2.view.appreportui.ReportView#appfire##appfire#1#appfire#0#appfire#App Server Memory Usage#appfire##appfire#EE53B753-20E4-4328-AAD2-5A6303E8B049#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
E7C4BCDE-1344-4D52-A489-49CB7571ED5C#appfire#01.1001.1002.1004.#appfire##appfire#Prajakta2.prajakta2.web.com.view.organization.contactmanagement.GenderMain#appfire##appfire#1#appfire#0#appfire#Gender#appfire##appfire#701280B8-5283-4214-9C77-6408A56D1A4C#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
EB4F46D3-4E3D-40B9-9A9F-8DC6A9BA5961#appfire#01.1001.1002.1005.#appfire##appfire#Prajakta2.prajakta2.web.com.view.organization.contactmanagement.TitleMain#appfire##appfire#1#appfire#0#appfire#Title#appfire##appfire#DBFAA1A6-8C63-438A-9A50-79E1B4DC661D#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
FD783C14-759D-4CC7-846C-FDE9AFAB4CBD#appfire#02.1001.1001.#appfire##appfire#Prajakta2.view.appreportui.ReportView#appfire##appfire#1#appfire#0#appfire#System Memory Usage#appfire##appfire#600EB43F-F892-4CB9-86DA-237E9FBB82BA#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#614A85A2-3DEE-4FF4-A7CE-664433C44FE7#appfire#2016-05-28 08:52:58#appfire#1#appfire#1#appfire#51000#appfire#0
